es,en,de,fr,it
"alto, altura","High, height",Große Höhe,Haute altitude,"Alto, altezza"
ancho,broad,breit,large,ampio
mayoría,most,am meisten,la plupart,maggior parte
minoría,minority,Minderheit,minorité,minoranza
aumento,increase,Zunahme,augmenter,aumento
reducción,reduction,die Ermäßigung,réduction,riduzione
crecimiento,growth,Wachstum,croissance,crescita
fondo,background,Hintergrund,arrière-plan,sfondo
frente,forehead,Stirn,front,fronte
Sustantivos abstractos,Abstract nouns,Abstrakte Substantive,Noms abstraits,Sostantivi astratti
cosa,stuff,Sachen,truc,cose
aspecto,aspect,Aspekt,aspect,aspetto
contenido,content,Inhalt,contenu,contenuto
objeto,object,Objekt,objet,oggetto
parte,part,Teil,partie,parte
sector,sector,Sektor,secteur,settore
palabra,word,Wort,mot,parola
nombre,name,Name,nom,nome
código,code,Code,code,codice
secreto,secret,Geheimnis,secret,segreto
formalidad,formality,Formalität,formalité,formalità
presente,present,gegenwärtig,cadeau,presente
pasado,past,Vergangenheit,passé,passato
futuro,future,Zukunft,avenir,futuro
ocasión,chance,Chance,chance,opportunità
vez,time,Zeit,fois,tempo
acción,action,Aktion,action,azione
actividad,activity,Aktivität,activité,attività
acto,act,Gesetz,loi,atto
programa,program,Programm,programme,programma
proyecto,project,Projekt,projet,progetto
obra,construction site,Baustelle,chantier de construction,sito di costruzione
acuerdo,agreement,Vereinbarung,accord,accordo
actitud,attitude,Attitüde,attitude,atteggiamento
atención,attention,Aufmerksamkeit,attention,Attenzione
capacidad,ability,Fähigkeit,capacité,capacità
concepto,concept,Konzept,concept,concetto
tema,issue,Ausgabe,problème,problema
condición,condition,Zustand,condition,condizione
caso,case,Fall,cas,caso
conjunto,set,Satz,ensemble,impostato
grupo,cluster,Cluster,grappe,grappolo
creación,creation,Schaffung,création,creazione
destrucción,destruction,Zerstörung,destruction,distruzione
origen,origin,Herkunft,Origine,origine
destino,destination,Ziel,destination,destinazione
"objetivo, meta","Objective, goal",Objektives Ziel,"Objectif, objectif","Obiettivo, obiettivo"
función,function,Funktion,fonction,funzione
relación,relationship,Beziehung,relation,relazione
realidad,reality,Wirklichkeit,réalité,la realtà
situación,situation,Situation,situation,situazione
problema,problem,Problem,problème,problema
intento,tried,versucht,essayé,provato
solución,solution,Lösung,solution,soluzione
efecto,effect,Wirkung,effet,effetto
resultado,result,Ergebnis,résultat,risultato
logro,achievement,Leistung,réalisation,risultato
éxito,success,Erfolg,succès,successo
fracaso,failure,Versagen,échec,fallimento
causa,cause,Ursache,cause,causa
consecuencia,consequence,Folge,conséquence,conseguenza
beneficio,benefit,Nutzen,avantage,beneficio
perjuicio,damage,Schaden,dommage,danno
calidad,quality,Qualität,qualité,qualità
tipo,guy,Kerl,Type,tipo
ataque,stroke,Schlaganfall,accident vasculaire cérébral,colpo
defensa,defending,verteidigen,entièrement,difendere
paz,peace,Frieden,paix,pace
conflicto,conflict,Konflikt,conflit,conflitto
guerra,war,Krieg,guerre,guerra
carácter,character,Charakter,personnage,carattere
característica,characteristic,charakteristisch,caractéristique,caratteristica
crisis,crisis,Krise,crise,crisi
cambio,change,ändern,changement,modifica
desarrollo,development,Entwicklung,développement,sviluppo
progreso,progress,Fortschritt,progrès,progresso
avance,Advance,Vorauszahlung,Avance,Avanzare
retroceso,recoil,Rückstoß,recul,rinculo
mejora,improvement,Verbesserung,amélioration,miglioramento
deterioro,deterioration,Verschlechterung,détérioration,deterioramento
"comienzo, inicio, principio","Start, start, beginning","Starten Sie, beginnen Sie, beginnen Sie","Commencer, commencer, commencer","Inizia, inizia, inizia"
transcurso,course,Kurs,cours,corso
"fin, final, cabo","End, final, Cabo","Ende, Finale, Cabo","Fin, final, cabo","Fine, finale, Cabo"
etapa,stage,Bühne,Étape,palcoscenico
fase,phase,Phase,phase,fase
paso,passed,bestanden,passé,passato
serie,series,Serie,série,serie
secuencia,sequence,Reihenfolge,séquence,sequenza
grado,degree,Grad,degré,grado
nivel,level,eben,niveau,livello
proceso,process,Verfahren,processus,processi
corte,court,Gericht,rechercher,Tribunale
interrupción,interruption,Unterbrechung,interruption,interruzione
espera,wait,Warten,attendez,Aspettare
diferencia,difference,Unterschied,différence,differenza
similitud,similarity,Ähnlichkeit,similarité,somiglianza
sentido,sense,Sinn,sens,senso
sensación,sensation,Sensation,sensation,sensazione
vista,view,Sicht,voir,visualizzazione
oído,ear,Ohr,oreille,orecchio
tacto,touch,berühren,touche,tocco
olfato,smell,Geruch,odeur,odore
dolor,pain,Schmerz,douleur,Dolore
conciencia,awareness,Bewusstsein,conscience,consapevolezza
percepción,perception,Wahrnehmung,perception,percezione
imagen,image,Bild,image,Immagine
fuerza,force,Gewalt,force,forza
potencia,power,Leistung,pouvoir,energia
presencia,presence,Gegenwart,présence,presenza
existencia,existence,Existenz,existence,esistenza
experiencia,experience,Erfahrung,expérience,esperienza
posibilidad,possibility,Wahrscheinlichkeit,possibilité,possibilità
probabilidad,probability,Wahrscheinlichkeit,probabilité,probabilità
verdad,TRUE,WAHR,vérité,VERO
mentira,lie,Lüge,mensonge,menzogna
razón,reason,Grund,raison,motivo
acierto,success,Erfolg,succès,successo
equivocación,mistake,Fehler,erreur,errore
necesidad,need,brauchen,besoin,Bisogno
falta,lack,Mangel,manque,mancanza
significado,meaning,Bedeutung,signification,Senso
carácter,character,Charakter,personnage,carattere
personalidad,personality,Persönlichkeit,personnalité,personalità
pensamiento,thought,Gedanke,pensée,Pensiero
memoria,memory,Speicher,mémoire,memoria
recuerdo,memory,Speicher,souvenir,memoria
deseo,desire,Verlangen,désir,desiderio
alegría,happiness,Glück,bonheur,felicità
tristeza,sadness,Traurigkeit,tristesse,tristezza
"enojo, enfado","anger, anger","Wut, Wut","colère, colère","rabbia, rabbia"
"placer, éxtasis","Pleasure, ecstasy","Vergnügen, Ekstase","Plaisir, extase","Piacere, estasi"
empatía,empathy,Empathie,empathie,empatia
interés,interest,Interesse,intérêt,interesse
aburrimiento,boredom,Langeweile,ennui,noia
cansancio,fatigue,Ermüdung,fatigue,fatica
sorpresa,surprise,Überraschung,surprendre,sorpresa
susto,scare,Schrecken,effrayer,spavento
seguridad,security,Sicherheit,sécurité,sicurezza
confianza,trust,Vertrauen,confiance,Fiducia
"miedo, temor",fear,Furcht,craindre,Paura
ejemplo,example,Beispiel,exemple,esempio
Adjetivos,Adjectives,Adjektive,Adjectifs,Aggettivi
Adjetivos de calidad,Quality adjectives,Qualitätsadjektive,Adjectifs de qualité,Aggettivi di qualità
"bueno, buen","Well, good",Gut gut,"Eh bien, bon",Bene bene
malo,bad,schlecht,mauvais,Cattivo
superior,superior,Vorgesetzter,supérieur,superiore
inferior,lower,untere,inférieur,inferiore
central,central,zentral,central,centrale
lateral,side,Seite,côté,lato
frontal,frontal,frontal,frontal,frontale
"trasero, posterior","Rear, posterior","Hinten, hinterher","Arrière, postérieur","Posteriore, posteriore"
cierto,TRUE,WAHR,VRAI,VERO
real,real,real,réel,vero
falso,fake,gefälscht,faux,impostore
mayor,elderly,Alten,âgé,anziano
menor,minor,unerheblich,mineure,minore
importante,important,wichtig,important,importante
necesario,necessary,notwendig,nécessaire,necessario
absoluto,absolute,absolut,absolu,assoluto
relativo,relative,relativ,relatif,parente
caro,expensive,teuer,cher,costoso
barato,cheap,billig,bon marché,economico
viejo,old,alt,vieux,vecchio
joven,young,jung,jeune,giovane
nuevo,new,neu,nouveau,nuovo
cada,each,jede,chaque,ogni
cualquier,any,beliebig,n'importe quel,Qualunque
dado,given,gegeben,dé,dato
actual,current,aktuell,actuel,attuale
reciente,recent,jüngste,récent,recente
capaz,able,fähig,capable,capace
"fácil, simple, sencillo","easy, simple, simple","Einfach, einfach, einfach","Facile, simple, simple","facile, semplice, semplice"
"difícil, complicado",Difficult complicated,Schwierig kompliziert,Difficile compliqué,Difficile complicato
posible,possible,möglich,possible,possibile
imposible,impossible,unmöglich,impossible,impossibile
probable,likely,wahrscheinlich,probable,probabile
improbable,unlikely,unwahrscheinlich,peu probable,improbabile
estricto,strict,strikt,strict,rigoroso
serio,Serious,Ernst,sérieux,Serio
general,general,allgemein,général,generale
particular,particular,besondere,particulier,particolare
común,common,gemeinsam,commun,comune
especial,special,speziell,spécial,speciale
usual,usual,üblich,habituel,solito
único,only,nur,seul,soltanto
"raro, extraño",weird strange,"seltsam, fremd",étrange étrange,strano strano
fuerte,strong,stark,fort,forte
débil,weak,schwach,faible,Debole
"correcto, acertado","Correct, successful","Richtig, erfolgreich","Correct, réussi","Corretto, successo"
"incorrecto, desacertado","Incorrect, miscarired","Falsch, falsch","Incorrect, met à mal","Errato, messo a male"
"contrario, opuesto, inverso","otherwise, opposite, inverse","ansonsten umgekehrt, inverse","Sinon, en face, inverse","altrimenti, opposto, inverso"
igual,equal,gleich,égal,pari
"diferente, distinto","Different, different","Anders, anders","Différent, différent","Diverso, diverso"
"parecido, similar","similar, similar","Ähnlich, ähnlich","similaire, similaire","Simile, simile"
otro,other,andere,autre,altro
diverso,diverse,vielfältig,divers,Diversi
manual,manual,Handbuch,manuel,Manuale
automático,automatic,automatisch,automatique,automatico
universal,universal,Universal-,universel,universale
mundial,world,Welt,monde,mondo
continental,continental,kontinental,continental,continentale
internacional,international,International,international,internazionale
nacional,national,National,national,nazionale
regional,regional,regional,régional,regionale
local,local,lokal,local,Locale
urbano,urban,urban,urbain,urbano
rural,rural,ländlich,rural,rurale
social,social,Sozial,social,sociale
político,political,politisch,politique,politico
cultural,cultural,kulturell,culturel,culturale
artístico,artistic,künstlerisch,artistique,artistico
propio,own,eigen,posséder,Proprio
ajeno,unaffiliated,nicht verbunden,non affilié,non affiliato
público,public,öffentlich,public,pubblico
privado,private,Privatgelände,privé,privato
Adjetivos de forma,Adjectives of form,Adjektive der Form,Adjectifs de forme,Aggettivi della forma
alto,high,hoch,haut,alto
bajo,low,niedrig,bas,Basso
gran,great,Großartig,super,Grande
grande,big,groß,grand,grande
pequeño,little,wenig,petit,poco
amplio,broad,breit,large,ampio
angosto,narrow,eng,étroit,stretto
compacto,compact,kompakt,compact,compatto
delgado,slim,schlank,maigrir,sottile
grueso,thick,dick,épais,spesso
Adjetivos sensoriales,Sensory adjectives,Sensorische Adjektive,Adjectifs sensoriels,Aggettivi sensoriali
caliente,hot,heiß,chaud,caldo
frío,cold,kalt,froid,Freddo
ligero,light,Licht,léger,leggero
pesado,heavy,schwer,lourd,pesante
suave,gentle,sanft,doux,gentile
firme,firm,Firma,entreprise,ditta
flexible,flexible,flexibel,flexible,flessibile
duro,hard,hart,dur,difficile
blando,soft,weich,doux,morbido
caluroso,warm,warm,chaleureux,Caldo
frío,cold,kalt,froid,Freddo
fresco,cool,Cool,cool,Freddo
"delicioso, apetitoso","Delicious, appetizing","Köstlich, appetitlich","Délicieux, appétissant","Delizioso, appetitoso"
horrible,awful,abscheulich,affreux,Terribile
dulce,sweet,süss,douce,dolce
picante,spicy,scharf,épicé,speziato
salado,salty,salzig,salé,salato
amargo,bitter,bitter,amer,amaro
anterior,former,ehemalig,ancien,ex
posterior,later,später,plus tard,Dopo
siguiente,following,folgen,suivant,seguente
cercano,nearby,nahe,proche,nelle vicinanze
lejano,far,weit,loin,lontano
junto,together,zusammen,ensemble,insieme
unido,United,Vereinigt,Uni,Unito
separado,separate,getrennt,séparé,separato
alejado,remote,Fernbedienung,télécommande,a distanza
Adjetivos de sentimientos y sensaciones,Adjectives of feelings and sensations,Adjektive von Gefühlen und Empfindungen,Adjectifs de sentiments et de sensations,Aggettivi di sentimenti e sensazioni
feliz,happy,Glücklich,content,Contento
triste,sad,traurig,triste,triste
solo,only,nur,seul,soltanto
solitario,lonely,einsam,seul,solitario
contento,glad,froh,content,lieto
tranquilo,don't worry,Mach dir keine Sorgen,Ne vous inquiétez pas,Non preoccuparti
"enojado, enfadado","angry, angry","wütend, wütend","En colère, en colère","arrabbiato, arrabbiato"
calmo,calm,ruhig,calme,calma
agitado,hectic,hektisch,trépidant,frenetico
ansioso,anxious,ängstlich,anxieux,ansioso
interesado,interested,interessiert,intéressé,interessato
aburrido,bored,gelangweilt,ennuyé,annoiato
encantado,delighted,erfreut,Enchanté,incantato
cansado,tired,müde,fatigué,Stanco
sorprendido,surprised,überrascht,surpris,sorpreso
"asustado, atemorizado","Scared, frightened","Angst, verängstigt","Effrayé, effrayé","Spaventato, spaventato"
doloroso,painful,schmerzlich,douloureux,doloroso
"picante, ardiente","spicy, burning","würzig, brennend","épicé, brûlant","piccante, bruciando"
"apestoso, maloliente","Apestoso, smelly","Apestoso, stinkend","Apestoso, malodorant","Apesoso, puzzolente"
Adjetivos ordinales,Ordinal adjectives,Ordinale Adjektive,Adjectifs ordinaux,Aggettivi ordinali
"primer, primero, primera","First, first, first",Erstens zuerst zuerst,"Tout d'abord, d'abord","Primo, primo, primo"
segundo,second,zweite,deuxième,secondo
tercero,third,dritte,troisième,terzo
cuarto,room,Zimmer,chambre,camera
quinto,fifth,fünfte,cinquième,quinto
décimo,tenth,Zehntel,dixième,decimo
centésimo,hundredth,Hundertstel,centième,centesimo
millonésimo,millionth,millionste,millionième,milionesimo
penúltimo,penultimate,vorletzte,avant dernier,penultimo
último,last,zuletzt,dernier,scorso
Adjetivos posesivos,Possessive adjectives,Possessive Adjektive,Adjectifs possessifs,Aggettivi possessivi
mi,my,Mein,mon,Mio
tu,you,Du,toi,Voi
su,his,sein,son,il suo
"nuestro, nuestra",our our,unser unser,notre notre,nostro
"vuestro, vuestra","yours, yours","Ihre, Ihre","Tôtre, le tien","tuo, tuo"
Verbos,Verbs,Verben,Verbes,Verbi
Auxiliares,Auxiliary,Hilfs,Auxiliaire,Ausiliario
ser,be,Sei,être,Essere
estar,be,Sei,être,Essere
haber,to have,haben,avoir,avere
Existencia,Existence,Existenz,Existence,Esistenza
aparecer,appear,erscheinen,apparaître,apparire
desaparecer,disappear,verschwinden,disparaître,scomparire
existir,exist,existieren,exister,esistere
cambiar,change,ändern,changer,modifica
crecer,grow,wachsen,croître,crescere
vivir,live,live,vivre,vivere
nacer,be born,geboren werden,naître,essere nato
morir,die,sterben,mourir,morire
Movimiento,Motion,Bewegung,Mouvement,Movimento
ir,go,gehen,aller,andare
venir,come,kommen,venir,Venire
volver,return,zurückkehren,revenir,ritorno
partir,leave,verlassen,partir,Partire
llegar,arrive,ankommen,arriver,arrivare
llevar,carry,tragen,apporter,trasportare
traer,bring,bringen,apporter,Portare
mover,move,Umzug,déplacer,mossa
arrojar,throw,Wurf,lancer,gettare
lanzar,launch,Start,lancement,lancio
coger,take,nehmen,prendre,Prendere
agarrar,grab,greifen,saisir,preda
poner,put,setzen,"mettre, poser",Mettere
"quitar, sacar","Remove, get","Entfernen, holen","Supprimer, obtenir","Rimuovi, ottieni"
alcanzar,reach,erreichen,atteindre,portata
acercar,zoom in,hineinzoomen,agrandir,ingrandire
alejar,Ward off,Abwehren,Parer,Allontanarsi
lanzar,launch,Start,lancement,lancio
arrojar,throw,Wurf,lancer,gettare
lanzar,launch,Start,lancement,lancio
coger,take,nehmen,prendre,Prendere
agarrar,grab,greifen,saisir,preda
sujetar,hold,halten,prise,Presa
golpear,hit,Schlag,frapper,colpo
patear,kick,trete,coup,calcio
poner,put,setzen,"mettre, poser",Mettere
"quitar, sacar","Remove, get","Entfernen, holen","Supprimer, obtenir","Rimuovi, ottieni"
alcanzar,reach,erreichen,atteindre,portata
acercar,zoom in,hineinzoomen,agrandir,ingrandire
alejar,Ward off,Abwehren,Parer,Allontanarsi
recoger,collect,sammeln,ranger,raccogliere
levantar,get up,aufstehen,se lever,alzarsi
tomar,take,nehmen,prendre,Prendere
pegar,paste,Paste,pâte,impasto
Sensaciones,Sensations,Empfindungen,Sensations,Sensazioni
sentir,feel,fühlen,se sentir,Tatto
ver,see,sehen,regarder,Vedere
"oír, escuchar","Hear, listen",Hören zuhören,Entendre écouter,Sentire Ascoltare
tocar,tap,klopfen,toucher,rubinetto
oler,smell,Geruch,odeur,odore
percibir,perceive,wahrnehmen,percevoir,percepire
Emociones,Emotions,Gefühle,Émotions,Emozioni
amar,love,Liebe,aimer,Amore
querer,want,wollen,vouloir,Volere
desear,want,wollen,souhaiter,Volere
"odiar, detestar","hate, hate","Hass, Hass","haine, haine","odio, odio"
entristecerse,sad,traurig,triste,triste
llorar,cry,weinen,pleurer,gridare
reír,laugh,lachen,rire,ridere
"enojarse, enfadarse","getting angry, getting angry","wütend werden, wütend werden","Se mettre en colère, se mettre en colère","Arrabbiarsi, arrabbiarsi"
"admirar, alabar, elogiar","admire, praise, praise","bewundern, loben, loben","admirer, louer, louer","Ammira, lode, lode"
alegrarse,rejoice,jubeln,réjouir,rallegrarsi
encantarse,enchant,verzaubern,enchanter,incantare
consolar,comfort,Kompfort,confort,comfort
interesarse,interest,Interesse,intérêt,interesse
aburrirse,get bored,langweilig werden,s'ennuyer,annoiarsi
cansarse,get tired,müde werden,se fatiguer,stancarsi
sorprenderse,to be surprised,überrascht sein,être surpris,essere sorpresi
"asustarse, atemorizarse","Scare yourself, frighten","Schrecken Sie sich selbst, erschrecken","Effrayez-vous, effrayez","Spaventa te stesso, spaventato"
Actividades,Activities,Aktivitäten,Activités,Attività
comunicarse,communicate,kommunizieren,communiquer,comunicare
afirmar,say,sagen,dire,Dire
negar,deny,leugnen,refuser,negare
decir,say,sagen,dire,Dire
hablar,talk,sprechen,parler,parlare
callar,to silence,zum Schweigen bringen,à silence,silenziare
escribir,write,schreiben,Écrire,scrivere
leer,read,lesen,lire,Leggere
analizar,analyze,analysieren,analyser,analizzare
pensar,think,denken,penser,pensare
cantar,sing,singen,chanter,cantare
señalar,point,Punkt,indiquer,punto
apuñalar,to stab,zu stechen,poignarder,pugnalare
morder,bite,beissen,mordre,morso
clavar,to nail,nageln,clouer,inchiodare
comer,eat,essen,manger,mangiare
beber,to drink,trinken,boire,bere
acordar,agree,zustimmen,accepter,Essere d'accordo
afectar,affect,beeinträchtigen,affecter,simulare
generar,trigger,Abzug,déclencher,grilletto
"añadir, agregar",add add,Add Add,ajouter,Aggiungi aggiungi
mejorar,improve,verbessern,améliorer,migliorare
empeorar,worsen,verschlechtern,empirer,peggiorare
seguir,continue,weitermachen,continuer,Continua
avanzar,advance,Vorauszahlung,avance,avanzare
retroceder,back,zurück,dos,Indietro
ayudar,help,Hilfe,aider,aiuto
complicar,Complicate,Komplizieren,Compliquer,Complicato
reunirse,meet up,treffen,se rencontrer,incontrarsi
entrevistar,to interview,befragen,interviewer,intervistare
"abrir, desenvolver","Open, develop","Offen, entwickeln","Ouvrir, développer","Apri, sviluppa"
jugar,play,spielen,jouer,giocare
tener,have,haben,ont,Avere
faltar,lack,Mangel,manque,mancanza
dar,give,geben,donner,Dare
recibir,receive,erhalten,recevoir,ricevere
romper,break,brechen,casser,rottura
doblar,fold,falten,pli,piega
cortar,cut,schneiden,couper,taglio
comprar,buy,besorgen,acheter,acquistare
vender,sell,verkaufen,vendre,vendere
llevar puesto,to wear,tragen,porter,indossare
cambiar,change,ändern,changer,modifica
intercambiar,to exchange,wechseln,échanger,scambiare
"sustituir, reemplazar","Replace, replace","Ersetzen, ersetzen","Remplacer, remplacer","Sostituire, sostituire"
cerrar,close,schließen,fermer,vicino
buscar,look for,Suche,chercher,cercare
encontrar,find,finden,trouver,Trovare
"obtener, conseguir","get, get","Holen Sie sich, bekommen",obtenir,"Ottieni, ottieni"
crear,create,erstellen,créer,creare
creer,believe,glauben,croire,credere
"comenzar, iniciar, empezar","Start, start, start","Starten Sie, starten Sie, beginnen Sie","Commencer, démarrer, démarrer","Inizia, inizia, inizia"
"terminar, acabar","Finish, finish",Ende beenden,"Terminer, finir","Finire, finire"
abandonar,abandon,aufgeben,abandonner,abbandono
dejar,leave,verlassen,laisser,Partire
entrar,get in,Treten Sie ein,Montez,Entra
quedarse,stay,bleiben,rester,rimanere
salir,go out,hinausgehen,sortir,esci
atender,attend,teilnehmen,assister à,assistere
medir,measure,messen,mesure,misurare
pesar,weigh,wiegen,peser,pesare
considerar,consider,halten,considérer,prendere in considerazione
comparar,compare,vergleichen,comparer,confrontare
evaluar,assess,bewerten,évaluer,valutare
decidir,decide,entscheiden,décider,decidere
construir,build,bauen,construire,costruire
destruir,destroy,zerstören,détruire,distruggere
deber,duty,Pflicht,devoir,dovere
poder,can,dürfen,pouvoir,Potere
conocer,know,wissen,savoir,Sapere
"entender, comprender",understand comprehend,Verständnis verstehen,comprendre comprendre,capire comprendere
atar,tie,binden,cravate,cravatta
saber,know,wissen,savoir,Sapere
trabajar,work,arbeiten,travailler,lavoro
"separar, dividir, partir","separate, divide, leave","trennen, teilen, verlassen","séparer, diviser, partir","separare, dividere, lasciare"
descansar,rest,ausruhen,repos,riposo
dormir,sleep,schlafen,dormir,sonno
despertar,wake up,aufwachen,réveillez-vous,svegliati
aceptar,accept,akzeptieren,Accepter,accettare
rechazar,decline,Abfall,déclin,declino
descartar,rule out,ausschließen,éliminer,escludere
acompañar,accompany,begleiten,accompagner,accompagnare
"pedir, solicitar",ask request,Anfrage fragen,demander une demande,Chiedi richiesta
pretender,pretend,vorgeben,prétendre,fare finta
proponer,propose,vorschlagen,proposer,proporre
sugerir,suggest,empfehlen,suggérer,suggerire
"usar, utilizar","Use, use","Verwendung, Verwendung","Utiliser, utiliser","Usa, usa"
hacer,do,Tun,faire,Fare
fabricar,manufacture,Herstellung,fabriquer,produzione
"arreglar, reparar",fix repair,Reparatur reparieren,Réparation de réparation,Correzione della riparazione
explicar,explain,erklären,expliquer,spiegare
mostrar,show,zeigen,montrer,spettacolo
tratar,treat,behandeln,traiter,trattare
evitar,avoid,vermeiden,éviter,Evitare
"probar, intentar","Try, try",Versuch es,Essayer essayer,Prova prova
"comprobar, verificar","Check, verify","Überprüfen Sie, überprüfen Sie","Vérifiez, vérifiez","Controlla, verifica"
variar,vary,variieren,varier,variare
esperar,wait,Warten,attendre à,Aspettare
"necesitar, precisar","need, specify","brauchen, angeben","besoin, spécifiez","bisogno, specificare"
significar,mean,bedeuten,moyenne,Significare
parecer,seem,erscheinen,paraître,sembrare
distinguir,distinguish,unterscheiden,distinguer,distinguere
Adverbios,Adverbs,Adverbien,Les adverbes,Avverbi
Adverbios de cantidad,Adverbs of quantity,Adverbien der Menge,Adverbes de quantité,Avverbi di quantità
más,further,weiter,plus loin,ulteriore
menos,less,weniger,moins,meno
muy,very,sehr,très,molto
mucho,a lot,eine Menge,beaucoup,molto
poco,bit,Bit,bit,morso
apenas,barely,kaum,à peine,appena
algo,something,etwas,quelque chose,qualcosa
casi,almost,fast,presque,Quasi
aproximadamente,approximately,etwa,environ,circa
exactamente,exactly,Exakt,exactement,esattamente
bastante,quite,ganz,assez,abbastanza
justo,fair,gerecht,équitable,Giusto
demasiado,too much,zu viel,trop,troppo
etcétera,etc.,usw.,etc.,eccetera.
"solo, solamente","alone, only",nur allein,seul seulement,"solo, solo"
tan,so,So,donc,COSÌ
tanto,so much,soviel,tellement,tanto
todo,all,alle,tout,Tutto
nada,nothing,Nichts,rien,Niente
cómo,as,als,comme,COME
cuándo,when,Wenn,quand,Quando
cuánto,how much,wie viel,combien,Quanto
"cuál, cuáles","which, which","was, was","qui, qui","che, che"
dónde,where,Wo,où,Dove
Adverbios de calidad,Quality adverbs,Qualitätsadverbien,Adverbes de qualité,Avverbi di qualità
bien,good,Gut,bien,Bene
mal,evil,teuflisch,mal,cattivo
mejor,better,besser,mieux,Meglio
peor,worse,schlechter,pire,peggio
regular,regular,regulär,régulier,regolare
despacio,slowly,langsam,lentement,lentamente
deprisa,fast,schnell,rapide,veloce
tal,such,solch,tel,come
como,as,als,comme,COME
adrede,deliberate,absichtlich,volontaire,deliberato
claro,clear,klar,clair,chiaro
exacto,exact,genau,exact,esatto
obvio,obvious,offensichtlich,évident,ovvio
inclusive,inclusive,inklusiv,compris,inclusivo
además,besides,neben,en outre,Oltretutto
asimismo,in addition,Zusätzlich,en outre,Inoltre
únicamente,only,nur,uniquement,soltanto
especialmente,especially,besonders,spécialement,particolarmente
incluso,even,selbst,même,Anche
viceversa,vice versa,und umgekehrt,vice versa,viceversa
siquiera,even,selbst,même,Anche
inicialmente,initially,anfänglich,initialement,Inizialmente
finalmente,finally,Endlich,finalement,Finalmente
Adverbios de posibilidad,Adverbs of possibility,Adverbien der Möglichkeit,Adverbes de possibilité,Avverbi di possibilità
siempre,always,stets,toujours,Sempre
nunca,never,niemals,jamais,Mai
jamás,never,niemals,jamais,Mai
también,also,Auch,aussi,Anche
tampoco,neither,weder,ni,nessuno dei due
"quizá, quizás","Maybe, maybe",Vielleicht vielleicht,"Peut-être, peut-être","Forse, forse"
acaso,perhaps,womöglich,peut-être,Forse
fácilmente,easily,leicht,facilement,facilmente
difícilmente,hardly,kaum,à peine,difficilmente
probablemente,probably,wahrscheinlich,probablement,probabilmente
posiblemente,possibly,möglicherweise,peut-être,possibilmente
seguramente,surely,sicherlich,sûrement,certamente
Adverbios temporales,Temporary adverbs,Temporäre Adverbien,Adverbes temporaires,Avverbi temporanei
antes,before,Vor,avant,Prima
anteriormente,previously,bisher,précédemment,in precedenza
actualmente,at the moment,im Augenblick,actuellement,al momento
ahora,now,Jetzt,maintenant,Ora
enseguida,right away,sofort,tout de suite,al momento
inmediatamente,immediately,sofort,immédiatement,subito
ya,already,bereits,déjà,Già
todavía,still,still,toujours,Ancora
aún,still,still,toujours,Ancora
recién,newly,neu,nouvellement,recentemente
mientras,while,während,alors que,Mentre
después,after,nach,après,Dopo
luego,then,Dann,alors,Poi
pronto,soon,bald,bientôt,Presto
tarde,late,spät,en retard,tardi
temprano,early,früh,tôt,Presto
ayer,yesterday,gestern,hier,Ieri
anoche,last night,letzter Nacht,la nuit dernière,la notte scorsa
hoy,today,Heute,aujourd'hui,Oggi
mañana,tomorrow,morgen,matin,Domani
de nuevo,again,nochmal,de nouveau,Ancora
próximamente,soon,bald,bientôt,Presto
Adverbios de ubicación,Location adverbs,Standortadverbien,Adverbes d'emplacement,Avverbi di posizione
"arriba, encima",up above,hoch oben,au dessus,su in alto
"abajo, debajo",Down,Runter,Bas,Giù
"adelante, delante","Go ahead, in front",Voranschreiten,Aller de l'avant,"Vai avanti, di fronte"
"atrás, detrás",behind,hinter,derrière,dietro
"centro, medio","Center, medium","Mitte, mittel","Centre, moyen","Centro, medio"
alrededor,around,um,autour,in giro
enfrente,in front,vor,devant,davanti
cerca,near,nahe,proche,vicino
lejos,far,weit,loin,lontano
"adentro, dentro","Inside, inside","Drinnen, im Inneren","À l'intérieur, à l'intérieur","Dentro, dentro"
"afuera, fuera","Outside, outside","Draußen, draußen","À l'extérieur, à l'extérieur","Fuori, fuori"
aquí,here,Hier,ici,Qui
acá,here,Hier,ici,Qui
ahí,there,Dort,là,Là
allá,there,Dort,là,Là
allí,over there,da drüben,là-bas,laggiù
Otros adverbios,Other adverbs,Andere Adverbien,Autres adverbes,Altri avverbi
así,So,So,Donc,COSÌ
adónde,where to,wohin,où,dove
dónde,where,Wo,où,Dove
Preposiciones,Prepositions,Präpositionen,Prépositions,Preposizioni
"a, al","a, al","A, Al","A, Al","A, al"
ante,in view of,in Anbetracht,en vue de,in vista di
bajo,low,niedrig,bas,Basso
con,with,mit,avec,con
contra,against,gegen,contre,contro
"de, del","of, of","von, von",de de,di Di
desde,from,aus,depuis,da
durante,during,während,pendant,durante
en,in,In,dans,In
entre,between,zwischen,entre,fra
hacia,toward,zu,vers,verso
hasta,until,bis,jusqu'à,Fino a
mediante,through,durch,à travers,Attraverso
para,for,für,pour,per
por,by,von,pour,di
según,according to,entsprechend,selon,secondo
sin,without,ohne,sans,senza
sobre,about,um,sur,Di
tras,after,nach,après,Dopo
Conjunciones,Conjunctions,Konjunktionen,Conjonctions,Congiunzioni
aunque,although,Obwohl,même si,Sebbene
